name,last_match_date,elo_hard,elo_clay,elo_grass,ranking,recent_wins
Gabriel Diallo,20230206,78392,78900,78900,211,4
Laurent Lokoli,20230116,81937.8,82500,82500,175,4
Mattia Bellucci,20230116,84204.7,84800,84800,152,4
Kiranpal Pannu,20230109,41894.9,42500,42500,575,4
Manas Dhamne,,100000,100000,100000,0,5
Sumit Nagal,20230102,49131.1,49700,49700,503,4
Viktor Durasovic,20230102,64514,65700,65700,343,3
Dalibor Svrcina,20230116,76856.1,77800,77800,216,4
Timofey Skatov,20230102,85281,85800,85800,142,5
Daniel Michalski,20230102,72166.8,74000,74000,260,2
Kacper Zuk,20230102,74888.1,75500,75500,245,4
Arthur Fils,20230206,68894.1,69200,69200,163,6
Michael Geerts,20221017,72506.9,73200,73200,268,4
Leo Borg,20221017,41726.7,42300,42300,577,4
Martin Landaluce,,100000,100000,100000,0,5
Sho Shimabukuro,20221003,64090.7,64700,64700,353,4
Cem Ilkel,20220926,61198.3,61800,61800,382,4
Yshai Oliel,20220926,60935.8,61700,61700,383,4
Edan Leshem,20220926,55052.8,55400,55400,446,5
Francesco Maestrelli,20221010,80827.1,81400,81400,186,4
Dragos Nicolae Madaras,20220926,67972.4,68600,68600,314,4
Stefanos Sakellaridis,20230102,18740.2,19700,19700,803,4
Aleksandar Vukic,20230116,84798.2,85600,85600,146,5
Yunseong Chung,20220926,56823.2,57400,57400,426,4
Ji Sung Nam,20220926,40396.7,41000,41000,590,4
Hiroki Moriya,20221003,72853.1,73900,73900,253,4
Aleksandar Kovacevic,20220926,78004.6,77800,77800,222,7
Evan Furness,20220919,78681.6,79200,79200,208,4
Facundo Mena,20220919,84310.4,84900,84900,151,4
Learner Tien,20220829,-4805.91,-4200,-4200,1042,4
Brandon Holt,20230206,67979.3,69700,69700,195,3
Tomas Barrios Vera,20230206,78800,78654.1,78800,212,6
Yibing Wu,20230206,83172.3,82600,82600,97,10
Shintaro Mochizuki,20221003,61387.6,63200,63200,401,2
Alexis Galarneau,20220808,75719.9,76300,76300,237,4
